
:TEMPLATE=$SBE_FR
:Tagname,TXT.XDWN,TXT.XINT1,TXT.XINT2,TXT.XINT3,TXT.XINT4,TXT.XINT5,TXT.XINT6,TXT.XINT7,TXT.XINT8
C8140_SCW58_MO01,C8140_FV58_FB02,Scale Comms,,,0,0,0,0,0
C8140_SB59_MO01,,,,,0,0,0,0,0
C8140_SCW59_MO01,C8140_FV59_FB02,Scale Comms,,,0,0,0,0,0
C8140_SB60_MO01,,,,,0,0,0,0,0
C8140_SCW60_MO01,C8140_FV60_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW61_MO01,C8140_FV61_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW62_MO01,C8140_FV62_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW63_MO01,C8140_FV63_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW64_MO01,C8140_FV64_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW65_MO01,C8140_FV65_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW66_MO01,C8140_FV66_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW67_MO01,C8140_FV67_FB02,Scale Comms,,,0,0,0,0,0
C8140_SCW68_MO01,C8140_FV68_FB02,Scale Comms,,,0,0,0,0,0
C8142_HM01_SV02,,,,,0,0,0,0,0
C8142_MX01_MO01,,,,,0,0,0,0,0
C8150_FA01_MO01,,,,,0,0,0,0,0
C8150_FI01_SV02,,,,,0,0,0,0,0
C8150_MX01_MO01,,,,,0,0,0,0,0
C8150_CN01_MO01,C8152_EV01_MO01,,,,0,0,0,0,0
C8152_EV01_MO01,,,,,0,0,0,0,0
C8152_FA01_MO01,,,,,0,0,0,0,0
C8152_DB01_MO01,,,,,0,0,0,0,0
C8210_FA01_MO01,,,,,0,0,0,0,0
C8210_FI01_SV02,,,,,0,0,0,0,0
C8210_FA02_MO01,,,,,0,0,0,0,0
C8210_FI02_SV02,,,,,0,0,0,0,0
C8210_SCW01_MO01,C8210_SCW05_MO01,,,,0,0,0,0,0
C8210_SCW02_MO01,C8210_SCW05_MO01,,,,0,0,0,0,0
C8210_SCW05_MO01,C8210_DV01/02 = Waste OR (C8210_SI01_MO01 AND C8210_SI02_MO01),,,,0,0,0,0,0
C8210_SI01_MO01,C8210_SCW06_MO01,,,,0,0,0,0,0
C8210_SI02_MO01,C8210_SCW06_MO01,,,,0,0,0,0,0
C8210_SCW06_MO01,,Magnet Door Open,,,0,0,0,0,0
C8210_FA05_MO01,,,,,0,0,0,0,0
C8210_CN01_MO01,,LIW System Fault,,,0,0,0,0,0
C8210_FA06_MO01,,,,,0,0,0,0,0
C8210_FA07_MO01,,,,,0,0,0,0,0
C8210_LIW01_DO01,,,,,0,0,0,0,0
C8210_LIW01_DO02,,,,,0,0,0,0,0
C8210_SB01_MO01,,,,,0,0,0,0,0
